1/a,f(a),a,E = -1/3a^3,T=(6a^5)^1/2f(a),T1np/T2,T2np/T2,T3np/T2,T4np/T2,T5np/T2,T6np/T2,T7np/T2,T9np/T2,T11np/T2,T13np/T2,T15np/T2,T19np/T2,T27np/T2,T31np/T2,T39np/T2,T47np/T2,T55np/T2,T63np/T2,T79np/T2,T111np/T2,T157np/T2,T997np/T2,T2 = ,3.091140557
0.01000,0.74683,100.00000,-0.0000003333,182935.2915,59180.5155,118361.0309,177541.5464,236722.0618,295902.5773,355083.0927,414263.6082,532624.6391,650985.6700,769346.7009,887707.7319,1124429.7937,1597873.9174,1834595.9792,2308040.1028,2781484.2265,3254928.3502,3728372.4738,4675260.7211,6569037.2158,9291340.9268,59002973.9112,,
0.02000,0.74681,50.00000,-0.0000026667,32337.8897,10461.4750,20922.9500,31384.4250,41845.9000,52307.3751,62768.8501,73230.3251,94153.2751,115076.2251,135999.1751,156922.1252,198768.0252,282459.8253,324305.7253,407997.5254,491689.3255,575381.1256,659072.9257,826456.5259,1161223.7262,1642451.5767,10430090.5860,,
0.03000,0.74677,33.33333,-0.0000090000,11734.3875,3796.1352,7592.2704,11388.4056,15184.5408,18980.6760,22776.8112,26572.9464,34165.2168,41757.4872,49349.7576,56942.0280,72126.5688,102495.6504,117680.1911,148049.2727,178418.3543,208787.4359,239156.5175,299894.6807,421371.0070,595993.2261,3784746.7926,,
0.04000,0.74671,25.00000,-0.0000213333,5715.7787,1849.0840,3698.1681,5547.2521,7396.3362,9245.4202,11094.5042,12943.5883,16641.7564,20339.9244,24038.0925,27736.2606,35132.5968,49925.2691,57321.6052,72114.2775,86906.9499,101699.6222,116492.2945,146077.6391,205248.3284,290306.1942,1843536.7876,,
0.05000,0.74661,20.00000,-0.0000416667,3271.4837,1058.3419,2116.6839,3175.0258,4233.3677,5291.7097,6350.0516,7408.3936,9525.0774,11641.7613,13758.4452,15875.1290,20108.4968,28575.2323,32808.6000,41275.3355,49742.0710,58208.8065,66675.5420,83609.0130,117475.9549,166159.6840,1055166.9104,,
0.06000,0.74648,16.66667,-0.0000720000,2073.5596,670.8073,1341.6146,2012.4219,2683.2291,3354.0364,4024.8437,4695.6510,6037.2656,7378.8801,8720.4947,10062.1093,12745.3384,18111.7967,20795.0258,26161.4841,31527.9423,36894.4006,42260.8589,52993.7754,74459.6085,105316.7436,668794.8620,,
0.07000,0.74632,14.28571,-0.0001143330,1410.1102,456.1779,912.3559,1368.5338,1824.7118,2280.8897,2737.0677,3193.2456,4105.6015,5017.9574,5930.3133,6842.6692,8667.3810,12316.8046,14141.5164,17790.9400,21440.3636,25089.7871,28739.2107,36038.0579,50635.7522,71619.9378,454809.4141,,
0.08000,0.74611,12.50000,-0.0001706670,1009.6098,326.6140,653.2280,979.8420,1306.4560,1633.0700,1959.6840,2286.2980,2939.5259,3592.7539,4245.9819,4899.2099,6205.6659,8818.5778,10125.0338,12737.9458,15350.8577,17963.7696,20576.6816,25802.5055,36254.1533,51278.3970,325634.1516,,
0.09000,0.74586,11.11111,-0.0002430000,751.8442,243.2255,486.4510,729.6765,972.9020,1216.1275,1459.3530,1702.5785,2189.0295,2675.4805,3161.9315,3648.3825,4621.2845,6567.0885,7539.9905,9485.7944,11431.5984,13377.4024,15323.2064,19214.8144,26998.0304,38186.4033,242495.8222,,
0.10000,0.74557,10.00000,-0.0003333330,577.5153,186.8292,373.6584,560.4875,747.3167,934.1459,1120.9751,1307.8043,1681.4626,2055.1210,2428.7794,2802.4377,3549.7545,5044.3879,5791.7047,7286.3381,8780.9716,10275.6051,11770.2385,14759.5055,20738.0393,29332.1818,186268.6956,,
0.11000,0.74523,9.09091,-0.0004436670,454.8659,147.1515,294.3029,441.4544,588.6059,735.7573,882.9088,1030.0603,1324.3632,1618.6661,1912.9691,2207.2720,2795.8779,3973.0896,4561.6955,5738.9072,6916.1189,8093.3307,9270.5424,11624.9659,16333.8128,23102.7803,146710.0125,,
0.12000,0.74484,8.33333,-0.0005760000,365.7500,118.3220,236.6441,354.9661,473.2881,591.6102,709.9322,828.2543,1064.8983,1301.5424,1538.1865,1774.8306,2248.1187,3194.6950,3667.9831,4614.5594,5561.1357,6507.7120,7454.2883,9347.4409,13133.7461,18576.5598,117967.0706,,
0.13000,0.74440,7.69231,-0.0007323330,299.2410,96.8060,193.6120,290.4180,387.2240,484.0300,580.8360,677.6420,871.2541,1064.8661,1258.4781,1452.0901,1839.3141,2613.7622,3000.9862,3775.4343,4549.8823,5324.3304,6098.7784,7647.6745,10745.4667,15198.5431,96515.5887,,
0.14000,0.74390,7.14286,-0.0009146670,248.4674,80.3805,160.7610,241.1415,321.5220,401.9025,482.2830,562.6635,723.4245,884.1855,1044.9465,1205.7075,1527.2295,2170.2735,2491.7955,3134.8395,3777.8835,4420.9275,5063.9715,6350.0595,8922.2355,12619.7385,80139.3587,,
0.15000,0.74335,6.66667,-0.0011250000,208.9481,67.5958,135.1916,202.7874,270.3832,337.9789,405.5747,473.1705,608.3621,743.5537,878.7452,1013.9368,1284.3200,1825.0863,2095.4694,2636.2357,3177.0021,3717.7684,4258.5347,5340.0673,7503.1325,10612.5388,67393.0011,,
0.16000,0.74273,6.25000,-0.0013653330,177.6680,57.4765,114.9530,172.4296,229.9061,287.3826,344.8591,402.3356,517.2887,632.2417,747.1947,862.1478,1092.0538,1551.8660,1781.7720,2241.5842,2701.3963,3161.2084,3621.0206,4540.6448,6379.8934,9023.8132,57304.0874,,
0.17000,0.74206,5.88235,-0.0016376670,152.5435,49.3486,98.6973,148.0459,197.3945,246.7431,296.0918,345.4404,444.1377,542.8349,641.5322,740.2294,937.6239,1332.4130,1529.8075,1924.5965,2319.3855,2714.1746,3108.9636,3898.5416,5477.6977,7747.7347,49200.5825,,
0.18000,0.74133,5.55556,-0.0019440000,132.1007,42.7353,85.4705,128.2058,170.9410,213.6763,256.4115,299.1468,384.6173,470.0878,555.5583,641.0288,811.9698,1153.8518,1324.7928,1666.6748,2008.5568,2350.4388,2692.3208,3376.0849,4743.6129,6709.4345,42607.0458,,
0.19000,0.74053,5.26316,-0.0022863330,115.2748,37.2920,74.5840,111.8760,149.1680,186.4600,223.7520,261.0439,335.6279,410.2119,484.7959,559.3799,708.5479,1006.8838,1156.0518,1454.3877,1752.7236,2051.0596,2349.3955,2946.0674,4139.4112,5854.8428,37180.1166,,
0.20000,0.73967,5.00000,-0.0026666670,101.2829,32.7655,65.5311,98.2966,131.0622,163.8277,196.5933,229.3588,294.8899,360.4210,425.9521,491.4832,622.5453,884.6697,1015.7318,1277.8562,1539.9805,1802.1049,2064.2292,2588.4779,3636.9753,5144.1903,32667.2468,,
0.21000,0.73873,4.76190,-0.0030870000,89.5396,28.9665,57.9330,86.8996,115.8661,144.8326,173.7991,202.7657,260.6987,318.6318,376.5648,434.4979,550.3640,782.0962,897.9623,1129.6945,1361.4267,1593.1589,1824.8911,2288.3555,3215.2843,4547.7444,28879.6254,,
0.22000,0.73773,4.54545,-0.0035493330,79.6008,25.7513,51.5025,77.2538,103.0050,128.7563,154.5076,180.2588,231.7613,283.2639,334.7664,386.2689,489.2739,695.2840,798.2890,1004.2991,1210.3092,1416.3193,1622.3294,2034.3495,2858.3898,4042.9478,25674.0058,,
